"","name","RT","MW","m/z","class","origin","tic","exclude","code","sim"
"s1","2-Oxopropanoic acid, methylester","7.92","102","43+102","s","C","0.579144112","F","2-Oxopropanoic Acid, ME",""
"s2","1-Hydroxypropanone","9.24","74","43","s","C","1.428699657","F","1-Hydroxypropanone",""
"s3","Propanoic acid, methylester","12.1","102","43+102","s","C","1.442887015","F","Propanoic acid, ME",""
"unk4","Unknown","19.06","unk","58+86+114","unk","C","1.830393883","F","unknown carbohydrate 1",""
"unk5","Unknown","19.35","unk","98+126","unk","C","5.34990526","F","unknown carbohydrate 2",""
"unk6","Unknown","21.77","unk","116","unk","C","0","F","unknown carbohydrate 3",""
"unk7","Unknown","22.33","unk","44","unk","C","3.336083454","F","unknown carbohydrate 4",""
"unk8","Unknown","26.18","unk","57+69","unk","C","1.153004104","F","unknown carbohydrate 5",""
"unk9","Unknown","31.67","unk","73+135","unk","C","7.590107005","F","unknown carbohydrate 6",""
"f10","Laevoglucosan","40.44","172","60+73","f","C","0","F","laevoglucosan",""
"cp1","2-Cyclopenten-1-one","10.26","82","53+54+52","cp","C","2.020538261","F","10.26_2-cyclopenten-1-one",""
"cp2","2-Methyl-2-cyclopenten-1-one","10.51","96","53+96","cp","C","2.36623591","F","10.51_2-methyl-2-cyclopenten-1-one",""
"cp3","3-Methyl-cyclopentanone","13.31","","67+96","cp","C","4.0617533325","F","13.31_3-methyl-cyclopentanone",""
"cp4","Dimethylcyclopentenone","13.69","110","67+95+110","cp","C","1.6276422925","F","13.69_dimethylcyclopentenone",""
"cp5","2-Cyclopenten-1,4-dione","14.44","96","54+68+96","cp","C","1.6790668675","F","14.44_2-cyclopenten-1,4-dione",""
"cp6","1,2-Cylopentandione","17.51","98","55+98","cp","C","2.2214713485","F","17.51_1,2-cylopentandione",""
"cp7","2-Hydroxy-3-methyl-2-cyclopenten-1-one","18.14","98","98","cp","C","15.95856595","F","18.14_2-cyclopenten-1-one,_-2-hydroxy-3-me",""
"cp8","3-Methy-l1,2-cyclopentanedione","18.42","112","69+112","cp","C","2.735582125","F","18.42_1,2-cyclopentanedione,_-3-methyl-",""
"N-me-pyr1","N-methyl-pyrrol","6.15","81","80+81","N-me-pyr","N","5.4743220269","F","N-methyl-pyrrol",""
"p2","Pyridine","6.9","95","52+79+95","p","N","1.6763104903","F","pyridine",""
"p3","Methylpyridine","7.5","93","66+92+93","p","N","1.4113710874","F","methylpyridine1",""
"p4","methylpyridine","9.02","93","66+93","p","N","0.5530547433","F","methylpyridine2",""
